Directory,Filename,Width,Height
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01730_B.png,01730_B.png,212,451
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01730_T.png,01730_T.png,212,454
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01731_T.png,01731_T.png,208,542
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01731_B.png,01731_B.png,208,541
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01733_B.png,01733_B.png,215,518
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01732_T.png,01732_T.png,204,527
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01733_T.png,01733_T.png,212,521
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01735_B.png,01735_B.png,212,460
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01734_B.png,01734_B.png,202,648
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01732_B.png,01732_B.png,206,521
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01734_T.png,01734_T.png,205,655
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01736_B.png,01736_B.png,263,568
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01737_T.png,01737_T.png,268,607
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01735_T.png,01735_T.png,218,464
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01737_B.png,01737_B.png,266,604
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01738_B.png,01738_B.png,260,628
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01739_B.png,01739_B.png,240,501
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01738_T.png,01738_T.png,265,635
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01739_T.png,01739_T.png,242,504
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01740_B.png,01740_B.png,239,488
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01741_B.png,01741_B.png,309,880
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01740_T.png,01740_T.png,241,489
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01741_T.png,01741_T.png,260,546
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01742_T.png,01742_T.png,237,546
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01742_B.png,01742_B.png,235,534
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01743_B.png,01743_B.png,227,558
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01744_B.png,01744_B.png,260,607
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01744_T.png,01744_T.png,262,611
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01746_B.png,01746_B.png,237,619
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01745_B.png,01745_B.png,235,493
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01745_T.png,01745_T.png,232,492
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01747_T.png,01747_T.png,239,467
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01747_B.png,01747_B.png,237,459
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01746_T.png,01746_T.png,238,628
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01748_T.png,01748_T.png,246,587
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01749_B.png,01749_B.png,265,604
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01748_B.png,01748_B.png,244,588
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01749_T.png,01749_T.png,246,601
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01750_B.png,01750_B.png,227,454
