epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_precision,val_precision,train_recall,val_recall,train_f1,val_f1
1,2.4005,2.3967,0.0958,0.0974,0.0894,0.0095,0.0958,0.0974,0.0503,0.0173
2,2.3968,2.3967,0.0971,0.0974,0.0278,0.0095,0.0971,0.0974,0.0382,0.0173
3,2.3969,2.3966,0.0976,0.0974,0.0190,0.0095,0.0976,0.0974,0.0315,0.0173
4,2.3968,2.3966,0.0961,0.0974,0.0187,0.0095,0.0961,0.0974,0.0313,0.0173
5,2.3968,2.3966,0.0963,0.0974,0.0188,0.0095,0.0963,0.0974,0.0314,0.0173
6,2.3968,2.3966,0.0979,0.0974,0.0191,0.0095,0.0979,0.0974,0.0311,0.0173
7,2.4337,2.3966,0.0977,0.0974,0.0945,0.0095,0.0977,0.0974,0.0350,0.0173
8,2.3969,2.3966,0.0973,0.0974,0.0594,0.0095,0.0973,0.0974,0.0314,0.0173
