epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_precision,val_precision,train_recall,val_recall,train_f1,val_f1
1,0.4210,0.2633,0.8615,0.9364,0.8612,0.9384,0.8615,0.9364,0.8612,0.9366
2,0.1941,0.2837,0.9371,0.9338,0.9371,0.9369,0.9371,0.9338,0.9371,0.9339
3,0.1534,0.2358,0.9507,0.9410,0.9507,0.9445,0.9507,0.9410,0.9507,0.9413
4,0.1303,0.2715,0.9588,0.9509,0.9588,0.9518,0.9588,0.9509,0.9588,0.9508
5,0.1163,0.2573,0.9629,0.9488,0.9629,0.9504,0.9629,0.9488,0.9629,0.9486
6,0.1059,0.2692,0.9667,0.9527,0.9667,0.9543,0.9667,0.9527,0.9667,0.9526
7,0.0937,0.2371,0.9709,0.9499,0.9709,0.9511,0.9709,0.9499,0.9709,0.9496
8,0.0866,0.2796,0.9729,0.9582,0.9729,0.9596,0.9729,0.9582,0.9729,0.9580
