Model,Test Loss,Test Accuracy,Test Precision,Test Recall,Test F1,Inference Time (s),Inference Time per Sample (ms),GPU Memory (MB),Parameters
efficientnet_b0,0.06931490402420204,0.9818597151303413,0.9819349740246646,0.9818597151303413,0.9818080176404265,104.23013019561768,7.002830569444885,29.05419921875,5393383
efficientnet_v2_m,0.0961066030134784,0.9766191883902177,0.9767619861816372,0.9766191883902177,0.976598473335941,128.17302989959717,8.611463981429534,221.755859375,54244191
mobilenet_v3_small,0.10893629383307643,0.9682880945982263,0.9687894049325761,0.9682880945982263,0.9683196319086966,64.32914400100708,4.322033324442829,14.30419921875,1591947
resnet34,0.1299310751899792,0.9674146734748723,0.9675321844705136,0.9674146734748723,0.9674364980179889,77.61293911933899,5.2145215748010605,92.095703125,21884075
swin_t,2.39614267768778,0.0985622144584789,0.009714510118959189,0.0985622144584789,0.01768586246842255,112.13598418235779,7.533995174842636,117.55810546875,28380901
vit_b_16,2.3962102845455213,0.0985622144584789,0.009714510118959189,0.0985622144584789,0.01768586246842255,177.76882362365723,11.9436188943602,338.708984375,86660203
