Model,Test Loss,Test Accuracy,Test Precision,Test Recall,Test F1,Inference Time (s),Inference Time per Sample (ms),GPU Memory (MB),Parameters
efficientnet_v2_m,4.770280368858198,0.15929857565170652,0.3385080842292089,0.15929857565170652,0.11069867046969306,309.2782220840454,20.779240935504262,221.755859375,54244191
efficientnet_b0,8.731964410117293,0.15190808922332708,0.26103155251523313,0.15190808922332708,0.10287301828434633,250.74604845046997,16.84668425493617,28.93701171875,5393383
mobilenet_v3_small,6.776736146322743,0.12442891695780704,0.22931571659558153,0.12442891695780704,0.044818430367078214,245.17221999168396,16.472199676947323,14.30419921875,1591947
swin_t,2.39614267768778,0.0985622144584789,0.009714510118959189,0.0985622144584789,0.01768586246842255,292.26133918762207,19.635940552782994,117.55810546875,28380901
vit_b_16,2.3962102845455213,0.0985622144584789,0.009714510118959189,0.0985622144584789,0.01768586246842255,342.9480905532837,23.0413928079336,338.708984375,86660203
resnet34,7.237293434461235,0.09762160709486697,0.15637974819461634,0.09762160709486697,0.03491886241557454,256.49697041511536,17.233067079757816,92.095703125,21884075
