epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_precision,val_precision,train_recall,val_recall,train_f1,val_f1
1,2.2822,2.2447,0.1499,0.2140,0.1526,0.2387,0.1499,0.2140,0.1422,0.1711
2,2.0451,2.1804,0.2449,0.2395,0.2414,0.2619,0.2449,0.2395,0.2360,0.2245
3,1.9206,1.9664,0.3001,0.3344,0.2961,0.3533,0.3001,0.3344,0.2903,0.3272
4,1.8101,1.9027,0.3469,0.3670,0.3422,0.3831,0.3469,0.3670,0.3385,0.3539
5,1.7136,1.8156,0.3857,0.4113,0.3836,0.4239,0.3857,0.4113,0.3775,0.3973
6,1.6152,1.7253,0.4274,0.4577,0.4269,0.4672,0.4274,0.4577,0.4213,0.4415
7,1.4971,1.6739,0.4754,0.4907,0.4740,0.5178,0.4754,0.4907,0.4703,0.4764
8,1.3971,1.4221,0.5147,0.5746,0.5136,0.5788,0.5147,0.5746,0.5113,0.5703
9,1.2714,1.3789,0.5607,0.5908,0.5592,0.6108,0.5607,0.5908,0.5580,0.5822
10,1.1778,1.3103,0.5974,0.6327,0.5962,0.6487,0.5974,0.6327,0.5950,0.6267
11,1.0830,1.3108,0.6334,0.6294,0.6321,0.6611,0.6334,0.6294,0.6315,0.6246
12,1.0197,1.0979,0.6545,0.6817,0.6532,0.6855,0.6545,0.6817,0.6527,0.6807
13,0.9374,1.1064,0.6865,0.6978,0.6854,0.7091,0.6865,0.6978,0.6850,0.6917
14,0.8766,1.0148,0.7057,0.7090,0.7044,0.7217,0.7057,0.7090,0.7042,0.7035
15,0.8521,0.9723,0.7168,0.7249,0.7156,0.7382,0.7168,0.7249,0.7154,0.7223
16,0.7994,0.8610,0.7333,0.7524,0.7321,0.7534,0.7333,0.7524,0.7321,0.7520
17,0.7608,0.8995,0.7473,0.7536,0.7461,0.7602,0.7473,0.7536,0.7460,0.7521
18,0.7333,0.8544,0.7574,0.7532,0.7564,0.7651,0.7574,0.7532,0.7563,0.7524
19,0.6934,0.8459,0.7714,0.7584,0.7704,0.7741,0.7714,0.7584,0.7704,0.7582
20,0.6697,0.8842,0.7799,0.7530,0.7789,0.7650,0.7799,0.7530,0.7789,0.7496
