epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_precision,val_precision,train_recall,val_recall,train_f1,val_f1
21,0.6481,0.7767,0.7860,0.7838,0.7851,0.7921,0.7860,0.7838,0.7852,0.7804
22,0.6294,0.8128,0.7920,0.7800,0.7910,0.7945,0.7920,0.7800,0.7911,0.7771
23,0.5956,0.7190,0.8029,0.8032,0.8020,0.8129,0.8029,0.8032,0.8021,0.8047
24,0.5771,0.7083,0.8098,0.8089,0.8091,0.8110,0.8098,0.8089,0.8091,0.8070
25,0.5573,0.7484,0.8165,0.7983,0.8158,0.8093,0.8165,0.7983,0.8158,0.7968
26,0.5531,0.7032,0.8177,0.8145,0.8169,0.8198,0.8177,0.8145,0.8170,0.8123
27,0.5265,0.6707,0.8263,0.8225,0.8256,0.8320,0.8263,0.8225,0.8256,0.8230
28,0.5121,0.6732,0.8312,0.8265,0.8306,0.8354,0.8312,0.8265,0.8306,0.8255
29,0.5026,0.6460,0.8350,0.8192,0.8345,0.8278,0.8350,0.8192,0.8345,0.8199
30,0.4839,0.6600,0.8406,0.8311,0.8402,0.8432,0.8406,0.8311,0.8402,0.8308
31,0.4689,0.7171,0.8457,0.8085,0.8452,0.8263,0.8457,0.8085,0.8452,0.8060
32,0.4638,0.6109,0.8479,0.8342,0.8475,0.8466,0.8479,0.8342,0.8475,0.8336
33,0.4479,0.6155,0.8549,0.8379,0.8545,0.8443,0.8549,0.8379,0.8545,0.8373
34,0.4329,0.5931,0.8579,0.8468,0.8576,0.8515,0.8579,0.8468,0.8575,0.8454
35,0.4214,0.6370,0.8619,0.8209,0.8615,0.8367,0.8619,0.8209,0.8615,0.8202
36,0.4154,0.5243,0.8651,0.8606,0.8648,0.8630,0.8651,0.8606,0.8647,0.8598
37,0.4080,0.5564,0.8663,0.8524,0.8660,0.8603,0.8663,0.8524,0.8659,0.8520
38,0.3889,0.5284,0.8721,0.8566,0.8718,0.8618,0.8721,0.8566,0.8718,0.8557
39,0.3805,0.5687,0.8762,0.8531,0.8760,0.8614,0.8762,0.8531,0.8759,0.8502
40,0.3767,0.4741,0.8759,0.8676,0.8757,0.8728,0.8759,0.8676,0.8756,0.8675
41,0.3680,0.5311,0.8814,0.8522,0.8811,0.8633,0.8814,0.8522,0.8811,0.8526
42,0.3583,0.5212,0.8837,0.8534,0.8835,0.8615,0.8837,0.8534,0.8834,0.8524
43,0.3438,0.5124,0.8886,0.8655,0.8884,0.8754,0.8886,0.8655,0.8883,0.8652
44,0.3443,0.4834,0.8891,0.8612,0.8889,0.8702,0.8891,0.8612,0.8888,0.8618
45,0.3305,0.4693,0.8917,0.8760,0.8915,0.8817,0.8917,0.8760,0.8915,0.8750
46,0.3223,0.4751,0.8951,0.8759,0.8949,0.8807,0.8951,0.8759,0.8949,0.8747
47,0.3202,0.4052,0.8952,0.8893,0.8950,0.8905,0.8952,0.8893,0.8950,0.8887
48,0.3071,0.4060,0.9004,0.8854,0.9002,0.8885,0.9004,0.8854,0.9002,0.8849
49,0.3054,0.4790,0.9010,0.8641,0.9008,0.8763,0.9010,0.8641,0.9008,0.8655
50,0.2989,0.4017,0.9028,0.8858,0.9026,0.8906,0.9028,0.8858,0.9026,0.8866
51,0.2982,0.3824,0.9020,0.8912,0.9019,0.8973,0.9020,0.8912,0.9019,0.8922
52,0.2983,0.3880,0.9032,0.8936,0.9031,0.8949,0.9032,0.8936,0.9030,0.8923
53,0.2876,0.4099,0.9059,0.8856,0.9057,0.8909,0.9059,0.8856,0.9057,0.8856
54,0.2851,0.3696,0.9068,0.8953,0.9066,0.8982,0.9068,0.8953,0.9066,0.8956
55,0.2733,0.3774,0.9091,0.8958,0.9089,0.9001,0.9091,0.8958,0.9088,0.8954
56,0.2684,0.3887,0.9113,0.8973,0.9111,0.9006,0.9113,0.8973,0.9111,0.8968
57,0.2737,0.3756,0.9102,0.8914,0.9101,0.8989,0.9102,0.8914,0.9101,0.8928
58,0.2665,0.3961,0.9124,0.8993,0.9123,0.9055,0.9124,0.8993,0.9122,0.8984
59,0.2540,0.3850,0.9166,0.8994,0.9165,0.9062,0.9166,0.8994,0.9165,0.8995
60,0.2506,0.3644,0.9182,0.9023,0.9181,0.9043,0.9182,0.9023,0.9181,0.9022
61,0.2504,0.3617,0.9176,0.9025,0.9175,0.9075,0.9176,0.9025,0.9175,0.9026
62,0.2433,0.3533,0.9201,0.9034,0.9200,0.9098,0.9201,0.9034,0.9200,0.9040
63,0.2387,0.3496,0.9209,0.8982,0.9208,0.9021,0.9209,0.8982,0.9208,0.8986
64,0.2364,0.3457,0.9227,0.9089,0.9226,0.9134,0.9227,0.9089,0.9226,0.9094
65,0.2260,0.3240,0.9249,0.9108,0.9248,0.9138,0.9249,0.9108,0.9248,0.9111
66,0.2363,0.3307,0.9228,0.9141,0.9227,0.9157,0.9228,0.9141,0.9227,0.9132
67,0.2284,0.3743,0.9246,0.8966,0.9245,0.9037,0.9246,0.8966,0.9245,0.8962
68,0.2365,0.3757,0.9225,0.9002,0.9224,0.9084,0.9225,0.9002,0.9224,0.9000
69,0.2230,0.3418,0.9268,0.9066,0.9268,0.9131,0.9268,0.9066,0.9267,0.9067
70,0.2168,0.3292,0.9284,0.9114,0.9283,0.9143,0.9284,0.9114,0.9283,0.9112
71,0.2086,0.3305,0.9322,0.9094,0.9321,0.9146,0.9322,0.9094,0.9321,0.9100
72,0.2064,0.3066,0.9326,0.9159,0.9325,0.9179,0.9326,0.9159,0.9325,0.9151
73,0.2088,0.3191,0.9317,0.9153,0.9316,0.9170,0.9317,0.9153,0.9316,0.9150
74,0.2062,0.3203,0.9325,0.9064,0.9324,0.9113,0.9325,0.9064,0.9324,0.9064
75,0.2048,0.2829,0.9328,0.9165,0.9327,0.9179,0.9328,0.9165,0.9327,0.9165
76,0.2071,0.2958,0.9321,0.9190,0.9319,0.9212,0.9321,0.9190,0.9320,0.9186
77,0.1935,0.2888,0.9365,0.9221,0.9364,0.9238,0.9365,0.9221,0.9364,0.9221
78,0.1943,0.2892,0.9357,0.9217,0.9356,0.9244,0.9357,0.9217,0.9356,0.9218
79,0.1921,0.2872,0.9363,0.9211,0.9362,0.9227,0.9363,0.9211,0.9362,0.9208
80,0.1906,0.3945,0.9372,0.8940,0.9372,0.9028,0.9372,0.8940,0.9371,0.8943
81,0.1888,0.2806,0.9370,0.9186,0.9370,0.9206,0.9370,0.9186,0.9370,0.9186
82,0.1861,0.3071,0.9390,0.9235,0.9389,0.9257,0.9390,0.9235,0.9389,0.9227
83,0.1842,0.2900,0.9386,0.9185,0.9386,0.9209,0.9386,0.9185,0.9385,0.9187
84,0.1842,0.2795,0.9384,0.9233,0.9383,0.9256,0.9384,0.9233,0.9383,0.9232
85,0.1784,0.2599,0.9405,0.9230,0.9404,0.9243,0.9405,0.9230,0.9404,0.9227
86,0.1737,0.2737,0.9431,0.9222,0.9430,0.9246,0.9431,0.9222,0.9430,0.9227
87,0.1774,0.2857,0.9413,0.9210,0.9413,0.9231,0.9413,0.9210,0.9412,0.9209
88,0.1734,0.3020,0.9428,0.9163,0.9428,0.9184,0.9428,0.9163,0.9428,0.9163
89,0.1717,0.2978,0.9429,0.9185,0.9428,0.9229,0.9429,0.9185,0.9428,0.9184
90,0.1690,0.2958,0.9436,0.9161,0.9436,0.9202,0.9436,0.9161,0.9436,0.9166
91,0.1634,0.2832,0.9460,0.9279,0.9460,0.9301,0.9460,0.9279,0.9459,0.9277
92,0.1672,0.2597,0.9445,0.9236,0.9445,0.9257,0.9445,0.9236,0.9445,0.9234
93,0.1657,0.2293,0.9453,0.9326,0.9453,0.9335,0.9453,0.9326,0.9453,0.9326
94,0.1592,0.2539,0.9465,0.9303,0.9464,0.9332,0.9465,0.9303,0.9464,0.9306
95,0.1592,0.2744,0.9469,0.9288,0.9468,0.9306,0.9469,0.9288,0.9468,0.9284
96,0.1559,0.2742,0.9483,0.9304,0.9482,0.9334,0.9483,0.9304,0.9482,0.9303
97,0.1561,0.2396,0.9476,0.9328,0.9475,0.9339,0.9476,0.9328,0.9475,0.9327
98,0.1523,0.2524,0.9498,0.9311,0.9498,0.9323,0.9498,0.9311,0.9498,0.9309
99,0.1577,0.2667,0.9476,0.9310,0.9476,0.9326,0.9476,0.9310,0.9476,0.9307
100,0.1500,0.2678,0.9492,0.9300,0.9492,0.9332,0.9492,0.9300,0.9492,0.9302
