epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_precision,val_precision,train_recall,val_recall,train_f1,val_f1
1,2.2643,2.1990,0.1621,0.2438,0.1709,0.2358,0.1621,0.2438,0.1523,0.2080
2,1.9521,1.9752,0.2864,0.3474,0.2873,0.3464,0.2864,0.3474,0.2797,0.3319
3,1.7195,1.7419,0.3867,0.4334,0.3837,0.4419,0.3867,0.4334,0.3815,0.4240
4,1.5405,1.5805,0.4586,0.4944,0.4555,0.5022,0.4586,0.4944,0.4542,0.4840
5,1.4030,1.4057,0.5157,0.5608,0.5140,0.5653,0.5157,0.5608,0.5126,0.5586
6,1.2775,1.3175,0.5659,0.5970,0.5643,0.6111,0.5659,0.5970,0.5632,0.5921
7,1.1460,1.2101,0.6128,0.6395,0.6114,0.6602,0.6128,0.6395,0.6106,0.6253
8,1.0339,1.0441,0.6545,0.6940,0.6530,0.7021,0.6545,0.6940,0.6524,0.6895
9,0.9426,0.9707,0.6868,0.7162,0.6855,0.7231,0.6868,0.7162,0.6852,0.7131
10,0.8579,1.0068,0.7155,0.7082,0.7146,0.7294,0.7155,0.7082,0.7141,0.6985
11,0.8053,0.8384,0.7341,0.7457,0.7333,0.7528,0.7341,0.7457,0.7329,0.7467
12,0.7468,0.8101,0.7522,0.7633,0.7513,0.7728,0.7522,0.7633,0.7512,0.7592
13,0.7064,0.7958,0.7666,0.7680,0.7660,0.7765,0.7666,0.7680,0.7657,0.7637
14,0.6631,0.6660,0.7810,0.7962,0.7802,0.7980,0.7810,0.7962,0.7802,0.7948
15,0.6431,0.6806,0.7873,0.8027,0.7867,0.8130,0.7873,0.8027,0.7866,0.8030
16,0.6056,0.6395,0.7999,0.8075,0.7993,0.8103,0.7999,0.8075,0.7992,0.8064
17,0.5687,0.6008,0.8118,0.8136,0.8113,0.8172,0.8118,0.8136,0.8112,0.8123
18,0.5519,0.6070,0.8163,0.8248,0.8158,0.8316,0.8163,0.8248,0.8157,0.8236
19,0.5308,0.5985,0.8253,0.8250,0.8249,0.8326,0.8253,0.8250,0.8248,0.8252
20,0.5058,0.6130,0.8338,0.8116,0.8334,0.8273,0.8338,0.8116,0.8333,0.8141
21,0.4911,0.5182,0.8396,0.8532,0.8392,0.8545,0.8396,0.8532,0.8391,0.8518
22,0.4735,0.4998,0.8454,0.8498,0.8451,0.8554,0.8454,0.8498,0.8450,0.8501
23,0.4632,0.5546,0.8464,0.8309,0.8461,0.8403,0.8464,0.8309,0.8460,0.8312
24,0.4437,0.5299,0.8549,0.8482,0.8545,0.8539,0.8549,0.8482,0.8545,0.8476
25,0.4353,0.5166,0.8577,0.8532,0.8574,0.8626,0.8577,0.8532,0.8573,0.8527
26,0.4129,0.5442,0.8636,0.8498,0.8634,0.8618,0.8636,0.8498,0.8633,0.8485
27,0.4050,0.4838,0.8671,0.8617,0.8668,0.8673,0.8671,0.8617,0.8668,0.8611
28,0.3966,0.4081,0.8702,0.8753,0.8700,0.8789,0.8702,0.8753,0.8699,0.8752
29,0.3867,0.4534,0.8736,0.8643,0.8733,0.8725,0.8736,0.8643,0.8732,0.8646
30,0.3714,0.4132,0.8786,0.8733,0.8785,0.8763,0.8786,0.8733,0.8784,0.8730
31,0.3654,0.4086,0.8801,0.8819,0.8799,0.8824,0.8801,0.8819,0.8799,0.8807
32,0.3604,0.4367,0.8823,0.8746,0.8821,0.8802,0.8823,0.8746,0.8820,0.8746
33,0.3500,0.4328,0.8856,0.8739,0.8854,0.8774,0.8856,0.8739,0.8853,0.8733
34,0.3475,0.3908,0.8857,0.8837,0.8855,0.8870,0.8857,0.8837,0.8854,0.8840
35,0.3371,0.3783,0.8890,0.8874,0.8888,0.8897,0.8890,0.8874,0.8888,0.8862
36,0.3289,0.3555,0.8913,0.8889,0.8911,0.8910,0.8913,0.8889,0.8911,0.8886
37,0.3224,0.3715,0.8943,0.8875,0.8942,0.8905,0.8943,0.8875,0.8941,0.8868
38,0.3091,0.3410,0.8980,0.8956,0.8978,0.8993,0.8980,0.8956,0.8978,0.8958
39,0.3058,0.4165,0.8996,0.8762,0.8994,0.8845,0.8996,0.8762,0.8994,0.8764
40,0.2996,0.4126,0.9003,0.8806,0.9002,0.8884,0.9003,0.8806,0.9001,0.8799
41,0.2974,0.3962,0.9016,0.8958,0.9014,0.9005,0.9016,0.8958,0.9014,0.8945
42,0.2905,0.3505,0.9040,0.8922,0.9039,0.8988,0.9040,0.8922,0.9038,0.8925
43,0.2852,0.3432,0.9062,0.8993,0.9061,0.9039,0.9062,0.8993,0.9061,0.8990
44,0.2782,0.3170,0.9088,0.9073,0.9086,0.9089,0.9088,0.9073,0.9086,0.9069
45,0.2772,0.3203,0.9085,0.9036,0.9084,0.9060,0.9085,0.9036,0.9083,0.9033
46,0.2668,0.3551,0.9120,0.9018,0.9118,0.9057,0.9120,0.9018,0.9118,0.9017
47,0.2608,0.3391,0.9144,0.9019,0.9144,0.9039,0.9144,0.9019,0.9143,0.9019
48,0.2551,0.3158,0.9159,0.9092,0.9157,0.9130,0.9159,0.9092,0.9157,0.9084
49,0.2549,0.3634,0.9157,0.8993,0.9156,0.9041,0.9157,0.8993,0.9155,0.8993
50,0.2517,0.3004,0.9172,0.9117,0.9171,0.9129,0.9172,0.9117,0.9171,0.9113
51,0.2437,0.2824,0.9197,0.9190,0.9196,0.9195,0.9197,0.9190,0.9196,0.9187
52,0.2424,0.3119,0.9200,0.9104,0.9199,0.9145,0.9200,0.9104,0.9199,0.9105
53,0.2432,0.3260,0.9206,0.9080,0.9205,0.9114,0.9206,0.9080,0.9205,0.9075
54,0.2328,0.2864,0.9241,0.9153,0.9240,0.9174,0.9241,0.9153,0.9240,0.9153
55,0.2312,0.3019,0.9242,0.9131,0.9241,0.9156,0.9242,0.9131,0.9241,0.9131
56,0.2339,0.3105,0.9228,0.9105,0.9226,0.9135,0.9228,0.9105,0.9226,0.9099
57,0.2306,0.2519,0.9237,0.9259,0.9235,0.9265,0.9237,0.9259,0.9235,0.9257
58,0.2229,0.2862,0.9265,0.9164,0.9264,0.9193,0.9265,0.9164,0.9263,0.9161
59,0.2183,0.2641,0.9272,0.9212,0.9272,0.9230,0.9272,0.9212,0.9271,0.9216
60,0.2113,0.2821,0.9294,0.9177,0.9293,0.9207,0.9294,0.9177,0.9293,0.9178
61,0.2152,0.2852,0.9288,0.9182,0.9287,0.9206,0.9288,0.9182,0.9287,0.9180
62,0.2081,0.2811,0.9313,0.9225,0.9312,0.9241,0.9313,0.9225,0.9312,0.9224
63,0.2090,0.2516,0.9301,0.9256,0.9300,0.9268,0.9301,0.9256,0.9300,0.9256
64,0.2051,0.2373,0.9333,0.9270,0.9332,0.9277,0.9333,0.9270,0.9332,0.9271
65,0.2022,0.2640,0.9322,0.9241,0.9322,0.9252,0.9322,0.9241,0.9321,0.9240
