epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_precision,val_precision,train_recall,val_recall,train_f1,val_f1
1,2.2352,2.3386,0.1739,0.2017,0.1823,0.2098,0.1739,0.2017,0.1667,0.1784
2,1.9513,2.2522,0.2893,0.2631,0.2878,0.3040,0.2893,0.2631,0.2821,0.2159
3,1.6932,1.6817,0.3969,0.4749,0.3941,0.4762,0.3969,0.4749,0.3922,0.4688
4,1.4551,1.5476,0.4905,0.5209,0.4870,0.5659,0.4905,0.5209,0.4861,0.5182
5,1.2488,1.2732,0.5686,0.6215,0.5665,0.6288,0.5686,0.6215,0.5661,0.6195
6,1.0730,1.0789,0.6366,0.6729,0.6350,0.6839,0.6366,0.6729,0.6349,0.6731
7,0.9528,0.9631,0.6781,0.7129,0.6766,0.7312,0.6781,0.7129,0.6767,0.7105
8,0.8454,0.8381,0.7166,0.7525,0.7155,0.7578,0.7166,0.7525,0.7155,0.7498
9,0.7590,0.7669,0.7487,0.7746,0.7479,0.7885,0.7487,0.7746,0.7478,0.7754
10,0.6896,0.7349,0.7728,0.7686,0.7723,0.7867,0.7728,0.7686,0.7722,0.7711
11,0.6411,0.7454,0.7883,0.7884,0.7878,0.8073,0.7883,0.7884,0.7877,0.7843
12,0.5916,0.5866,0.8062,0.8297,0.8058,0.8331,0.8062,0.8297,0.8057,0.8287
13,0.5558,0.6022,0.8164,0.8219,0.8160,0.8315,0.8164,0.8219,0.8159,0.8217
14,0.5187,0.5035,0.8307,0.8513,0.8304,0.8556,0.8307,0.8513,0.8302,0.8499
15,0.4921,0.6103,0.8378,0.8151,0.8376,0.8359,0.8378,0.8151,0.8374,0.8159
16,0.4638,0.4825,0.8486,0.8630,0.8484,0.8695,0.8486,0.8630,0.8482,0.8621
17,0.4441,0.4372,0.8547,0.8671,0.8545,0.8697,0.8547,0.8671,0.8543,0.8664
18,0.4282,0.4307,0.8593,0.8715,0.8591,0.8738,0.8593,0.8715,0.8590,0.8711
19,0.4058,0.5162,0.8676,0.8605,0.8674,0.8701,0.8676,0.8605,0.8674,0.8590
20,0.3944,0.4711,0.8694,0.8762,0.8693,0.8832,0.8694,0.8762,0.8691,0.8754
21,0.3810,0.3992,0.8753,0.8841,0.8751,0.8873,0.8753,0.8841,0.8750,0.8841
22,0.3646,0.5228,0.8808,0.8583,0.8807,0.8725,0.8808,0.8583,0.8806,0.8582
23,0.3572,0.4434,0.8827,0.8761,0.8826,0.8852,0.8827,0.8761,0.8825,0.8762
24,0.3400,0.4678,0.8884,0.8705,0.8883,0.8843,0.8884,0.8705,0.8882,0.8716
25,0.3341,0.4155,0.8893,0.8822,0.8892,0.8918,0.8893,0.8822,0.8891,0.8826
26,0.3209,0.3861,0.8951,0.8944,0.8949,0.8980,0.8951,0.8944,0.8949,0.8942
27,0.3129,0.3400,0.8981,0.8998,0.8980,0.9027,0.8981,0.8998,0.8979,0.8996
28,0.3054,0.3530,0.8999,0.8952,0.8998,0.9001,0.8999,0.8952,0.8997,0.8953
29,0.2954,0.3624,0.9021,0.8964,0.9020,0.9009,0.9021,0.8964,0.9019,0.8966
30,0.2889,0.3857,0.9040,0.8948,0.9040,0.9036,0.9040,0.8948,0.9039,0.8953
31,0.2834,0.3405,0.9056,0.8999,0.9055,0.9035,0.9056,0.8999,0.9055,0.9002
32,0.2759,0.3604,0.9097,0.8981,0.9096,0.9020,0.9097,0.8981,0.9095,0.8984
33,0.2675,0.3707,0.9115,0.9004,0.9114,0.9044,0.9115,0.9004,0.9114,0.9003
34,0.2591,0.3358,0.9144,0.9076,0.9143,0.9116,0.9144,0.9076,0.9143,0.9078
35,0.2568,0.3240,0.9147,0.9038,0.9146,0.9080,0.9147,0.9038,0.9146,0.9044
36,0.2470,0.3067,0.9182,0.9116,0.9181,0.9146,0.9182,0.9116,0.9181,0.9116
37,0.2428,0.3094,0.9203,0.9121,0.9202,0.9146,0.9203,0.9121,0.9202,0.9119
38,0.2392,0.2963,0.9208,0.9160,0.9207,0.9185,0.9208,0.9160,0.9207,0.9161
39,0.2316,0.2537,0.9235,0.9268,0.9234,0.9273,0.9235,0.9268,0.9234,0.9267
40,0.2285,0.2788,0.9246,0.9157,0.9245,0.9182,0.9246,0.9157,0.9245,0.9157
41,0.2272,0.3398,0.9248,0.9120,0.9247,0.9144,0.9248,0.9120,0.9247,0.9116
42,0.2199,0.3552,0.9267,0.9026,0.9266,0.9093,0.9267,0.9026,0.9266,0.9034
43,0.2178,0.3415,0.9278,0.9069,0.9278,0.9126,0.9278,0.9069,0.9278,0.9062
44,0.2110,0.4063,0.9295,0.8964,0.9295,0.9043,0.9295,0.8964,0.9294,0.8965
45,0.2117,0.3050,0.9294,0.9145,0.9293,0.9200,0.9294,0.9145,0.9293,0.9150
46,0.2077,0.3029,0.9315,0.9178,0.9315,0.9223,0.9315,0.9178,0.9315,0.9178
47,0.2056,0.2745,0.9328,0.9271,0.9327,0.9293,0.9328,0.9271,0.9327,0.9272
48,0.1987,0.2700,0.9339,0.9272,0.9339,0.9286,0.9339,0.9272,0.9338,0.9271
49,0.1974,0.2833,0.9343,0.9221,0.9342,0.9242,0.9343,0.9221,0.9342,0.9221
