epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_precision,val_precision,train_recall,val_recall,train_f1,val_f1
1,2.3366,2.1610,0.1323,0.2195,0.1345,0.2143,0.1323,0.2195,0.1203,0.1693
2,2.0222,1.8276,0.2763,0.3504,0.2643,0.3919,0.2763,0.3504,0.2628,0.3241
3,1.6241,1.2901,0.4362,0.5625,0.4266,0.5751,0.4362,0.5625,0.4268,0.5498
4,1.2721,1.0011,0.5685,0.6608,0.5638,0.6835,0.5685,0.6608,0.5641,0.6590
5,1.0634,0.8753,0.6426,0.7123,0.6397,0.7317,0.6426,0.7123,0.6403,0.7111
6,0.9127,0.7575,0.6942,0.7526,0.6925,0.7692,0.6942,0.7526,0.6929,0.7537
7,0.8227,0.7267,0.7280,0.7593,0.7268,0.7819,0.7280,0.7593,0.7271,0.7603
8,0.7590,0.6097,0.7500,0.8017,0.7492,0.8096,0.7500,0.8017,0.7492,0.8002
9,0.6992,0.5265,0.7702,0.8310,0.7695,0.8345,0.7702,0.8310,0.7696,0.8312
10,0.6591,0.5286,0.7849,0.8276,0.7846,0.8340,0.7849,0.8276,0.7844,0.8269
11,0.6234,0.4968,0.7965,0.8380,0.7961,0.8428,0.7965,0.8380,0.7960,0.8385
12,0.5916,0.4766,0.8061,0.8492,0.8059,0.8534,0.8061,0.8492,0.8057,0.8499
13,0.5676,0.4270,0.8149,0.8614,0.8149,0.8628,0.8149,0.8614,0.8146,0.8614
14,0.5467,0.4499,0.8217,0.8526,0.8215,0.8589,0.8217,0.8526,0.8213,0.8525
15,0.5304,0.4133,0.8273,0.8673,0.8272,0.8695,0.8273,0.8673,0.8270,0.8669
16,0.5155,0.4001,0.8321,0.8749,0.8319,0.8790,0.8321,0.8749,0.8317,0.8752
17,0.4915,0.3946,0.8400,0.8737,0.8399,0.8778,0.8400,0.8737,0.8398,0.8742
18,0.4810,0.4255,0.8420,0.8616,0.8418,0.8703,0.8420,0.8616,0.8417,0.8617
19,0.4716,0.3867,0.8461,0.8759,0.8460,0.8804,0.8461,0.8759,0.8458,0.8763
20,0.4578,0.3920,0.8517,0.8735,0.8516,0.8793,0.8517,0.8735,0.8515,0.8739
21,0.4544,0.3614,0.8509,0.8817,0.8509,0.8851,0.8509,0.8817,0.8507,0.8817
22,0.4366,0.4140,0.8578,0.8696,0.8577,0.8764,0.8578,0.8696,0.8576,0.8688
23,0.4267,0.3732,0.8609,0.8796,0.8610,0.8878,0.8609,0.8796,0.8607,0.8804
24,0.4229,0.3514,0.8620,0.8881,0.8620,0.8911,0.8620,0.8881,0.8618,0.8883
25,0.4174,0.3181,0.8632,0.8966,0.8631,0.8991,0.8632,0.8966,0.8630,0.8967
26,0.4083,0.3412,0.8671,0.8889,0.8671,0.8935,0.8671,0.8889,0.8669,0.8895
27,0.4046,0.3301,0.8672,0.8939,0.8670,0.8976,0.8672,0.8939,0.8670,0.8943
28,0.3970,0.3308,0.8706,0.8943,0.8705,0.8992,0.8706,0.8943,0.8704,0.8940
29,0.3893,0.3349,0.8732,0.8921,0.8732,0.8981,0.8732,0.8921,0.8731,0.8930
30,0.3839,0.3121,0.8741,0.9003,0.8741,0.9023,0.8741,0.9003,0.8740,0.9005
31,0.3823,0.2912,0.8746,0.9092,0.8746,0.9116,0.8746,0.9092,0.8745,0.9096
