batch_size,best_val_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1
16,0.23034800764950714,0.22688040867208614,0.9277076054823972,0.9290081226227602,0.9277076054823972,0.9277866169262978
32,0.3027490046187084,0.2844461941224215,0.9087610857296425,0.9126399234958239,0.9087610857296425,0.9088918578597343
64,0.2537137578409405,0.25764267527110585,0.9183687180865359,0.9199116128505929,0.9183687180865359,0.9182172584492309
128,0.23103318462132388,0.22440844911158594,0.9285810266057511,0.930764431427912,0.9285810266057511,0.9284221509148592
256,0.2292856696551129,0.2005119465165219,0.9375167965600645,0.9391478855900762,0.9375167965600645,0.9375783321071544
512,0.39648054018616674,0.35816488514343897,0.8836334318731524,0.8891930453927421,0.8836334318731524,0.882133372107453
