epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_precision,val_precision,train_recall,val_recall,train_f1,val_f1
1,2.3450,2.3526,0.1244,0.1706,0.1320,0.1682,0.1244,0.1706,0.1200,0.1537
2,2.0891,2.2466,0.2302,0.2662,0.2242,0.2804,0.2302,0.2662,0.2184,0.2386
3,1.9898,2.1198,0.2751,0.2863,0.2680,0.2815,0.2751,0.2863,0.2618,0.2586
4,1.9048,2.0692,0.3035,0.3197,0.2950,0.3235,0.3035,0.3197,0.2918,0.3035
5,1.8460,1.9960,0.3256,0.3519,0.3180,0.3524,0.3256,0.3519,0.3146,0.3360
6,1.8162,1.9294,0.3392,0.3695,0.3343,0.3792,0.3392,0.3695,0.3299,0.3644
7,1.7682,1.9207,0.3576,0.3793,0.3531,0.3858,0.3576,0.3793,0.3481,0.3607
8,1.7204,1.8523,0.3796,0.4081,0.3759,0.4168,0.3796,0.4081,0.3693,0.3996
9,1.6545,1.7887,0.4052,0.4401,0.4009,0.4399,0.4052,0.4401,0.3953,0.4244
10,1.5888,1.7210,0.4364,0.4629,0.4331,0.4627,0.4364,0.4629,0.4285,0.4521
11,1.5398,1.7080,0.4539,0.4492,0.4509,0.4966,0.4539,0.4492,0.4471,0.4407
12,1.4877,1.5661,0.4778,0.5067,0.4747,0.5171,0.4778,0.5067,0.4718,0.5043
13,1.4392,1.5471,0.4956,0.5182,0.4928,0.5319,0.4956,0.5182,0.4903,0.5152
14,1.3980,1.5192,0.5135,0.5308,0.5107,0.5362,0.5135,0.5308,0.5083,0.5259
15,1.3642,1.5753,0.5261,0.5150,0.5236,0.5452,0.5261,0.5150,0.5213,0.5077
16,1.3255,1.5144,0.5417,0.5584,0.5386,0.5678,0.5417,0.5584,0.5371,0.5457
17,1.2877,1.4908,0.5563,0.5615,0.5541,0.5735,0.5563,0.5615,0.5523,0.5543
18,1.2526,1.3610,0.5689,0.6081,0.5669,0.6137,0.5689,0.6081,0.5654,0.6054
19,1.1983,1.3803,0.5887,0.6033,0.5870,0.6171,0.5887,0.6033,0.5857,0.5953
20,1.1752,1.3160,0.5990,0.6200,0.5968,0.6313,0.5990,0.6200,0.5962,0.6153
21,1.1392,1.2966,0.6109,0.6426,0.6089,0.6452,0.6109,0.6426,0.6082,0.6397
22,1.0910,1.2823,0.6290,0.6510,0.6269,0.6597,0.6290,0.6510,0.6265,0.6467
23,1.0585,1.1937,0.6422,0.6599,0.6402,0.6682,0.6422,0.6599,0.6400,0.6589
24,1.0121,1.2225,0.6572,0.6645,0.6556,0.6679,0.6572,0.6645,0.6553,0.6626
25,1.0032,1.1913,0.6640,0.6645,0.6624,0.6701,0.6640,0.6645,0.6623,0.6634
26,0.9727,1.2115,0.6728,0.6714,0.6714,0.6854,0.6728,0.6714,0.6712,0.6692
27,0.9367,1.1395,0.6860,0.7024,0.6846,0.7123,0.6860,0.7024,0.6844,0.6995
28,0.9078,1.1939,0.6937,0.6823,0.6924,0.7000,0.6937,0.6823,0.6924,0.6802
29,0.8934,1.0869,0.7015,0.7078,0.7003,0.7131,0.7015,0.7078,0.7001,0.7052
30,0.8718,1.0687,0.7093,0.7096,0.7081,0.7136,0.7093,0.7096,0.7081,0.7061
31,0.8550,1.0785,0.7156,0.7194,0.7146,0.7254,0.7156,0.7194,0.7145,0.7166
32,0.8207,1.0469,0.7269,0.7255,0.7258,0.7250,0.7269,0.7255,0.7258,0.7201
33,0.8071,0.9626,0.7308,0.7401,0.7296,0.7384,0.7308,0.7401,0.7296,0.7382
34,0.7961,1.0422,0.7358,0.7346,0.7349,0.7489,0.7358,0.7346,0.7348,0.7310
35,0.7728,0.9574,0.7441,0.7448,0.7431,0.7432,0.7441,0.7448,0.7431,0.7413
36,0.7510,0.9724,0.7520,0.7364,0.7511,0.7425,0.7520,0.7364,0.7510,0.7341
37,0.7404,0.9396,0.7527,0.7431,0.7518,0.7564,0.7527,0.7431,0.7517,0.7443
38,0.7277,0.8975,0.7590,0.7562,0.7581,0.7606,0.7590,0.7562,0.7581,0.7561
39,0.7165,1.0060,0.7635,0.7463,0.7626,0.7615,0.7635,0.7463,0.7626,0.7443
40,0.6896,0.9180,0.7724,0.7604,0.7716,0.7692,0.7724,0.7604,0.7716,0.7590
41,0.6719,0.8642,0.7788,0.7747,0.7780,0.7790,0.7788,0.7747,0.7781,0.7726
42,0.6648,0.7975,0.7807,0.7819,0.7800,0.7808,0.7807,0.7819,0.7799,0.7791
43,0.6679,0.8643,0.7807,0.7723,0.7801,0.7790,0.7807,0.7723,0.7801,0.7711
44,0.6465,0.8855,0.7870,0.7788,0.7862,0.7898,0.7870,0.7788,0.7863,0.7768
45,0.6439,0.8128,0.7884,0.7883,0.7876,0.7875,0.7884,0.7883,0.7876,0.7850
46,0.6273,0.8258,0.7956,0.7872,0.7949,0.7915,0.7956,0.7872,0.7950,0.7834
47,0.6161,0.8027,0.7987,0.7948,0.7981,0.8010,0.7987,0.7948,0.7980,0.7930
48,0.6002,0.7674,0.8041,0.7919,0.8035,0.7960,0.8041,0.7919,0.8035,0.7892
49,0.5946,0.8120,0.8050,0.7983,0.8043,0.8037,0.8050,0.7983,0.8044,0.7965
50,0.5806,0.8005,0.8098,0.7976,0.8092,0.8045,0.8098,0.7976,0.8092,0.7951
51,0.5770,0.7152,0.8112,0.8026,0.8105,0.8029,0.8112,0.8026,0.8106,0.8008
52,0.5719,0.7844,0.8123,0.7907,0.8117,0.7966,0.8123,0.7907,0.8116,0.7879
53,0.5525,0.7568,0.8189,0.8099,0.8184,0.8192,0.8189,0.8099,0.8184,0.8091
54,0.5367,0.7535,0.8244,0.8000,0.8238,0.8044,0.8244,0.8000,0.8238,0.7978
55,0.5412,0.7308,0.8219,0.8096,0.8214,0.8156,0.8219,0.8096,0.8214,0.8078
56,0.5342,0.7298,0.8253,0.8136,0.8248,0.8178,0.8253,0.8136,0.8248,0.8111
57,0.5062,0.7086,0.8347,0.8153,0.8342,0.8164,0.8347,0.8153,0.8342,0.8133
58,0.5185,0.7328,0.8300,0.8115,0.8295,0.8176,0.8300,0.8115,0.8296,0.8099
59,0.5091,0.7439,0.8326,0.8101,0.8322,0.8209,0.8326,0.8101,0.8322,0.8099
60,0.4908,0.7341,0.8389,0.7992,0.8385,0.8155,0.8389,0.7992,0.8385,0.7984
61,0.4993,0.7084,0.8364,0.8233,0.8359,0.8260,0.8364,0.8233,0.8359,0.8206
62,0.4867,0.6538,0.8406,0.8202,0.8402,0.8282,0.8406,0.8202,0.8402,0.8200
63,0.4681,0.7102,0.8465,0.8237,0.8461,0.8295,0.8465,0.8237,0.8461,0.8202
64,0.4728,0.6297,0.8462,0.8341,0.8458,0.8368,0.8462,0.8341,0.8458,0.8327
65,0.4663,0.6890,0.8475,0.8281,0.8472,0.8375,0.8475,0.8281,0.8472,0.8253
66,0.4557,0.6232,0.8500,0.8370,0.8496,0.8423,0.8500,0.8370,0.8496,0.8364
67,0.4444,0.5979,0.8536,0.8407,0.8533,0.8432,0.8536,0.8407,0.8532,0.8382
68,0.4415,0.6382,0.8554,0.8325,0.8550,0.8371,0.8554,0.8325,0.8551,0.8303
69,0.4398,0.5675,0.8562,0.8375,0.8558,0.8417,0.8562,0.8375,0.8559,0.8380
70,0.4424,0.5874,0.8558,0.8384,0.8555,0.8411,0.8558,0.8384,0.8555,0.8354
71,0.4195,0.6427,0.8627,0.8389,0.8624,0.8464,0.8627,0.8389,0.8624,0.8353
72,0.4229,0.5752,0.8625,0.8408,0.8622,0.8456,0.8625,0.8408,0.8622,0.8394
73,0.4270,0.5405,0.8593,0.8482,0.8590,0.8537,0.8593,0.8482,0.8590,0.8473
74,0.4068,0.5703,0.8658,0.8511,0.8655,0.8555,0.8658,0.8511,0.8655,0.8491
75,0.3984,0.5510,0.8694,0.8538,0.8691,0.8579,0.8694,0.8538,0.8691,0.8530
76,0.3967,0.5672,0.8704,0.8462,0.8701,0.8524,0.8704,0.8462,0.8701,0.8447
77,0.3866,0.5683,0.8733,0.8454,0.8730,0.8530,0.8733,0.8454,0.8730,0.8451
78,0.3904,0.5644,0.8724,0.8532,0.8720,0.8603,0.8724,0.8532,0.8721,0.8518
79,0.3826,0.5719,0.8742,0.8499,0.8739,0.8562,0.8742,0.8499,0.8739,0.8485
80,0.3717,0.4946,0.8786,0.8608,0.8783,0.8627,0.8786,0.8608,0.8783,0.8599
81,0.3765,0.5592,0.8775,0.8526,0.8772,0.8606,0.8775,0.8526,0.8772,0.8519
82,0.3617,0.4659,0.8814,0.8667,0.8811,0.8693,0.8814,0.8667,0.8811,0.8666
83,0.3608,0.5110,0.8819,0.8606,0.8817,0.8643,0.8819,0.8606,0.8817,0.8596
84,0.3622,0.5854,0.8813,0.8503,0.8810,0.8644,0.8813,0.8503,0.8810,0.8493
85,0.3601,0.4611,0.8815,0.8680,0.8813,0.8694,0.8815,0.8680,0.8813,0.8675
86,0.3425,0.4514,0.8885,0.8731,0.8882,0.8748,0.8885,0.8731,0.8882,0.8718
87,0.3374,0.4808,0.8914,0.8690,0.8912,0.8742,0.8914,0.8690,0.8911,0.8677
88,0.3420,0.5060,0.8880,0.8649,0.8878,0.8709,0.8880,0.8649,0.8878,0.8630
89,0.3286,0.4727,0.8921,0.8693,0.8918,0.8736,0.8921,0.8693,0.8918,0.8679
90,0.3303,0.5284,0.8916,0.8621,0.8913,0.8739,0.8916,0.8621,0.8913,0.8608
91,0.3333,0.4810,0.8903,0.8737,0.8902,0.8778,0.8903,0.8737,0.8901,0.8722
92,0.3298,0.4461,0.8927,0.8781,0.8925,0.8835,0.8927,0.8781,0.8925,0.8782
93,0.3182,0.4653,0.8950,0.8652,0.8948,0.8699,0.8950,0.8652,0.8948,0.8647
94,0.3146,0.4606,0.8978,0.8751,0.8976,0.8806,0.8978,0.8751,0.8976,0.8753
95,0.3129,0.4988,0.8983,0.8724,0.8981,0.8784,0.8983,0.8724,0.8981,0.8706
96,0.3082,0.4284,0.8994,0.8733,0.8992,0.8780,0.8994,0.8733,0.8992,0.8722
97,0.3016,0.4171,0.9021,0.8741,0.9019,0.8754,0.9021,0.8741,0.9020,0.8733
98,0.3050,0.3965,0.8998,0.8834,0.8997,0.8850,0.8998,0.8834,0.8997,0.8827
99,0.2960,0.4120,0.9034,0.8848,0.9032,0.8874,0.9034,0.8848,0.9032,0.8844
100,0.2944,0.4477,0.9029,0.8771,0.9027,0.8822,0.9029,0.8771,0.9027,0.8762
