class,count
penguin,29017
basil,29013
kws_olof,28043
jary_skarb_czyzczony,27570
jary_jeczmien_skald_czyszczony_insect,27371
kws_atrika,27048
ella,27006
jary_hajduczek,26562
jary_oberek_czyszczony,26416
nagradowicki,25706
kucyk_insect,24119
