epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_precision,val_precision,train_recall,val_recall,train_f1,val_f1
1,2.3996,2.3980,0.0966,0.0974,0.1503,0.0095,0.0966,0.0974,0.0727,0.0173
2,2.3982,2.3975,0.0950,0.0974,0.0839,0.0095,0.0950,0.0974,0.0693,0.0173
3,2.3982,2.3981,0.0944,0.0974,0.0827,0.0095,0.0944,0.0974,0.0698,0.0173
4,2.3980,2.3978,0.0955,0.0925,0.0817,0.0086,0.0955,0.0925,0.0680,0.0157
5,2.3979,2.3978,0.0962,0.0974,0.0770,0.0095,0.0962,0.0974,0.0734,0.0173
6,2.3981,2.3971,0.0961,0.0974,0.0828,0.0095,0.0961,0.0974,0.0646,0.0173
7,2.3983,2.3970,0.0945,0.0974,0.0746,0.0095,0.0945,0.0974,0.0628,0.0173
8,2.3980,2.3992,0.0963,0.0974,0.0922,0.0095,0.0963,0.0974,0.0668,0.0173
9,2.3981,2.3979,0.0943,0.0974,0.0675,0.0095,0.0943,0.0974,0.0659,0.0173
