epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_precision,val_precision,train_recall,val_recall,train_f1,val_f1
1,2.4005,2.3967,0.0960,0.0974,0.0958,0.0095,0.0960,0.0974,0.0616,0.0173
2,2.3975,2.3969,0.0976,0.0974,0.0896,0.0095,0.0976,0.0974,0.0407,0.0173
3,2.3970,2.3967,0.0971,0.0974,0.0189,0.0095,0.0971,0.0974,0.0305,0.0173
4,2.3969,2.3967,0.0980,0.0974,0.0192,0.0095,0.0980,0.0974,0.0306,0.0173
5,2.3969,2.3967,0.0960,0.0974,0.0187,0.0095,0.0960,0.0974,0.0312,0.0173
6,2.3969,2.3968,0.0966,0.0974,0.0281,0.0095,0.0966,0.0974,0.0364,0.0173
7,2.3969,2.3967,0.0977,0.0974,0.0283,0.0095,0.0977,0.0974,0.0401,0.0173
8,2.3968,2.3969,0.0980,0.0941,0.0273,0.0089,0.0980,0.0941,0.0338,0.0162
