epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_precision,val_precision,train_recall,val_recall,train_f1,val_f1
1,2.3993,2.3967,0.0970,0.0974,0.0902,0.0095,0.0970,0.0974,0.0480,0.0173
2,2.3969,2.3967,0.0977,0.0974,0.0190,0.0095,0.0977,0.0974,0.0311,0.0173
3,2.3969,2.3967,0.0983,0.0974,0.0191,0.0095,0.0983,0.0974,0.0320,0.0173
4,2.3969,2.3967,0.0970,0.0974,0.0189,0.0095,0.0970,0.0974,0.0316,0.0173
5,2.3969,2.3968,0.0973,0.0974,0.0276,0.0095,0.0973,0.0974,0.0387,0.0173
6,2.3969,2.3968,0.0949,0.0974,0.0258,0.0095,0.0949,0.0974,0.0327,0.0173
7,2.3969,2.3968,0.0970,0.0974,0.0189,0.0095,0.0970,0.0974,0.0316,0.0173
8,2.3969,2.3967,0.0963,0.0974,0.0276,0.0095,0.0963,0.0974,0.0374,0.0173
9,2.3969,2.3968,0.0964,0.0974,0.0188,0.0095,0.0964,0.0974,0.0312,0.0173
