epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_precision,val_precision,train_recall,val_recall,train_f1,val_f1
1,0.4121,0.2442,0.8656,0.9359,0.8653,0.9399,0.8656,0.9359,0.8653,0.9364
2,0.1922,0.2794,0.9383,0.9415,0.9383,0.9438,0.9383,0.9415,0.9383,0.9416
3,0.1542,0.2442,0.9506,0.9452,0.9506,0.9469,0.9506,0.9452,0.9506,0.9451
4,0.1280,0.3205,0.9597,0.9511,0.9597,0.9541,0.9597,0.9511,0.9597,0.9511
5,0.1121,0.2426,0.9654,0.9541,0.9653,0.9563,0.9654,0.9541,0.9653,0.9541
6,0.1051,0.2452,0.9672,0.9553,0.9671,0.9574,0.9672,0.9553,0.9671,0.9553
7,0.0927,0.3077,0.9710,0.9542,0.9710,0.9556,0.9710,0.9542,0.9710,0.9542
8,0.0842,0.2990,0.9741,0.9542,0.9741,0.9562,0.9741,0.9542,0.9741,0.9542
9,0.0783,0.2698,0.9759,0.9534,0.9759,0.9559,0.9759,0.9534,0.9759,0.9534
